region, Q
Амурская область,1, 0.17720151153027103
Архангельская область,4, 0.13429911077897588
Калининградская область,1, 1.3065189961622012
Калужская область,4, 3.3114643807079736
Кировская область,1, 0.26242501021054054
Краснодарский край,4, 0.27930354467271357
Ленинградская область,4, 0.21437626750926636
Московская область,4, 1.5463214067610709
Нижегородская область,4, 0.6351498450094265
Омская область,1, 2.2970219196286643
Орловская область,1, 1.490468507375111
Пермский край,4, 0.2855712740973091
Республика Адыгея,1, 0.13771374823452232
Республика Крым,1, 0.2835682106503957
Республика Мордовия,4, 0.35963914785287765
Республика Татарстан,1, 0.6944716338555263
Республика Тыва,4, 0.0
Ростовская область,4, 1.707616749173711
Самарская область,1, 0.1897531745362578
Санкт-Петербург,4, 5.024964873618303
Смоленская область,1, 0.6215118473712204
Тамбовская область,4, 2.6511466003888375
Тюменская область,1, 0.1857034822430379
Чеченская Республика,4, 1.9571709901580427
Чувашская Республика,4, 0.39568743726669714
Ярославская область,1, 1.0781270456055296
