region, Q
Брянская область,4, 0.08033436751862258
Владимирская область,4, 1.258635477805433
Еврейская автономная область,1, 5.283772460984858
Иркутская область,4, 1.2892277684433955
Камчатский край,4, 0.26251387870340437
Карачаево-Черкесская Республика,4, 1.6756693335530215
Кемеровская область,4, 1.1458640609692208
Красноярский край,1, 0.5655615404144861
Нижегородская область,4, 0.41430086385281356
Новгородская область,1, 0.5786271712865958
Новосибирская область,1, 1.0503030450956345
Пензенская область,4, 0.15415651399647975
Республика Адыгея,1, 2.246682288498288
Республика Дагестан,1, 1.1601353714361284
Республика Саха,4, 20.07904406678152
Республика Хакасия,1, 2.2335880468595066
Саратовская область,4, 0.4078536342787512
Сахалинская область,4, 1.2237003279398226
