region, Q
Алтайский край,3
Амурская область,4
Архангельская область,4
Астраханская область,4
Белгородская область,2
Брянская область,2
Владимирская область,3
Волгоградская область,2
Вологодская область,3
Воронежская область,2
Еврейская автономная область,2
Забайкальский край,3
Ивановская область,1
Иркутская область,2
Кабардино-Балкарская Республика,1
Калининградская область,3
Калужская область,4
Камчатский край,4
Карачаево-Черкесская Республика,4
Кемеровская область,4
Кировская область,3
Костромская область,4
Краснодарский край,4
Красноярский край,4
Курганская область,2
Курская область,1
Ленинградская область,3
Липецкая область,2
Магаданская область,2
Москва,3
Московская область,3
Мурманская область,2
Ненецкий автономный округ,3
Нижегородская область,3
Новгородская область,2
Новосибирская область,4
Омская область,4
Оренбургская область,1
Орловская область,3
Пензенская область,3
Пермский край,3
Приморский край,4
Псковская область,3
Республика Адыгея,3
Республика Алтай,2
Республика Башкортостан,3
Республика Бурятия,1
Республика Дагестан,3
Республика Ингушетия,2
Республика Калмыкия,2
Республика Карелия,3
Республика Коми,2
Республика Крым,3
Республика Марий Эл,4
Республика Мордовия,3
Республика Саха,3
Республика Северная Осетия — Алания,4
Республика Татарстан,3
Республика Тыва,3
Республика Хакасия,4
Ростовская область,3
Рязанская область,3
Самарская область,4
Санкт-Петербург,2
Саратовская область,4
Сахалинская область,3
Свердловская область,4
Севастополь,4
Смоленская область,3
Ставропольский край,1
Тамбовская область,3
Тверская область,3
Томская область,3
Тульская область,2
Тюменская область,1
Удмуртская Республика,2
Ульяновская область,3
Хабаровский край,4
Ханты-Мансийский автономный округ,2
Челябинская область,3
Чеченская Республика,2
Чувашская Республика,2
Чукотский автономный округ,3
Ямало-Ненецкий автономный округ,4
Ярославская область,3
