region, Q
Амурская область,4, 1.8104047987265741
Архангельская область,4, 6.979306424905214
Астраханская область,4, 0.28458294781504007
Ивановская область,1, 1.2482244270012153
Кабардино-Балкарская Республика,1, 0.46494876153871606
Калужская область,4, 0.8313872521367544
Камчатский край,4, 0.20923075582205078
Карачаево-Черкесская Республика,4, 0.22844610702070547
Кемеровская область,4, 0.41311482823577195
Костромская область,4, 2.4620371122272138
Краснодарский край,4, 0.6655238863107072
Красноярский край,4, 2.463465443765578
Курская область,1, 0.4679112508592112
Новосибирская область,4, 0.5883019669112881
Омская область,4, 0.5047996077170124
Оренбургская область,1, 0.13783293955722614
Приморский край,4, 1.8687818916197652
Республика Бурятия,1, 2.79197234498613
Республика Марий Эл,4, 1.6664307462281722
Республика Северная Осетия — Алания,4, 0.6012677724723701
Республика Хакасия,4, 1.0444685406128498
Самарская область,4, 0.22255414671137197
Саратовская область,4, 0.9900741867896808
Свердловская область,4, 0.8238224735506351
Севастополь,4, 0.6879571878689515
Ставропольский край,1, 0.2505500618159482
Тюменская область,1, 0.6022106264919534
Хабаровский край,4, 3.8892348821724543
Ямало-Ненецкий автономный округ,4, 0.06048698965002202
