region, Q
Алтайский край,1
Амурская область,1
Архангельская область,4
Астраханская область,1
Белгородская область,2
Брянская область,2
Владимирская область,2
Волгоградская область,3
Вологодская область,3
Воронежская область,3
Еврейская автономная область,4
Забайкальский край,1
Ивановская область,3
Иркутская область,2
Кабардино-Балкарская Республика,4
Калининградская область,2
Калужская область,1
Камчатский край,2
Карачаево-Черкесская Республика,3
Кемеровская область,3
Кировская область,3
Костромская область,3
Краснодарский край,2
Красноярский край,2
Курганская область,4
Курская область,4
Ленинградская область,1
Липецкая область,4
Магаданская область,3
Москва,1
Московская область,2
Мурманская область,2
Ненецкий автономный округ,3
Нижегородская область,1
Новгородская область,4
Новосибирская область,2
Омская область,2
Оренбургская область,3
Орловская область,4
Пензенская область,2
Пермский край,1
Приморский край,2
Псковская область,2
Республика Адыгея,3
Республика Алтай,4
Республика Башкортостан,3
Республика Бурятия,3
Республика Дагестан,2
Республика Ингушетия,3
Республика Калмыкия,2
Республика Карелия,1
Республика Коми,2
Республика Крым,3
Республика Марий Эл,2
Республика Мордовия,2
Республика Саха,1
Республика Северная Осетия — Алания,2
Республика Татарстан,1
Республика Тыва,4
Республика Хакасия,2
Ростовская область,4
Рязанская область,1
Самарская область,2
Санкт-Петербург,1
Саратовская область,3
Сахалинская область,3
Свердловская область,2
Севастополь,1
Смоленская область,1
Ставропольский край,3
Тамбовская область,1
Тверская область,3
Томская область,1
Тульская область,4
Тюменская область,1
Удмуртская Республика,2
Ульяновская область,2
Хабаровский край,1
Ханты-Мансийский автономный округ,3
Челябинская область,4
Чеченская Республика,4
Чувашская Республика,3
Чукотский автономный округ,1
Ямало-Ненецкий автономный округ,2
Ярославская область,3
