region, Q
Алтайский край,3
Амурская область,3
Архангельская область,2
Астраханская область,3
Белгородская область,1
Брянская область,3
Владимирская область,4
Волгоградская область,2
Вологодская область,1
Воронежская область,2
Еврейская автономная область,3
Забайкальский край,3
Ивановская область,2
Иркутская область,2
Кабардино-Балкарская Республика,2
Калининградская область,3
Калужская область,3
Камчатский край,3
Карачаево-Черкесская Республика,2
Кемеровская область,2
Кировская область,2
Костромская область,4
Краснодарский край,1
Красноярский край,2
Курганская область,2
Курская область,2
Ленинградская область,2
Липецкая область,2
Магаданская область,1
Москва,3
Московская область,4
Мурманская область,3
Ненецкий автономный округ,2
Нижегородская область,2
Новгородская область,1
Новосибирская область,2
Омская область,3
Оренбургская область,2
Орловская область,3
Пензенская область,3
Пермский край,4
Приморский край,3
Псковская область,4
Республика Адыгея,3
Республика Алтай,4
Республика Башкортостан,2
Республика Бурятия,1
Республика Дагестан,2
Республика Ингушетия,3
Республика Калмыкия,2
Республика Карелия,2
Республика Коми,3
Республика Крым,3
Республика Марий Эл,1
Республика Мордовия,3
Республика Саха,3
Республика Северная Осетия — Алания,1
Республика Татарстан,2
Республика Тыва,2
Республика Хакасия,3
Ростовская область,2
Рязанская область,3
Самарская область,3
Санкт-Петербург,3
Саратовская область,3
Сахалинская область,2
Свердловская область,3
Севастополь,2
Смоленская область,2
Ставропольский край,1
Тамбовская область,3
Тверская область,1
Томская область,3
Тульская область,4
Тюменская область,2
Удмуртская Республика,4
Ульяновская область,3
Хабаровский край,4
Ханты-Мансийский автономный округ,2
Челябинская область,4
Чеченская Республика,2
Чувашская Республика,2
Чукотский автономный округ,3
Ямало-Ненецкий автономный округ,2
Ярославская область,2
