region, Q
Алтайский край,3
Амурская область,3
Архангельская область,3
Астраханская область,4
Белгородская область,2
Брянская область,3
Владимирская область,2
Волгоградская область,2
Вологодская область,3
Воронежская область,3
Еврейская автономная область,1
Забайкальский край,3
Ивановская область,2
Иркутская область,1
Кабардино-Балкарская Республика,2
Калининградская область,2
Калужская область,4
Камчатский край,2
Карачаево-Черкесская Республика,3
Кемеровская область,2
Кировская область,4
Костромская область,3
Краснодарский край,3
Красноярский край,2
Курганская область,3
Курская область,2
Ленинградская область,2
Липецкая область,2
Магаданская область,3
Москва,3
Московская область,3
Мурманская область,2
Ненецкий автономный округ,3
Нижегородская область,2
Новгородская область,3
Новосибирская область,2
Омская область,3
Оренбургская область,3
Орловская область,4
Пензенская область,3
Пермский край,2
Приморский край,3
Псковская область,2
Республика Адыгея,3
Республика Алтай,2
Республика Башкортостан,3
Республика Бурятия,4
Республика Дагестан,2
Республика Ингушетия,3
Республика Калмыкия,2
Республика Карелия,2
Республика Коми,3
Республика Крым,3
Республика Марий Эл,4
Республика Мордовия,3
Республика Саха,3
Республика Северная Осетия — Алания,2
Республика Татарстан,2
Республика Тыва,3
Республика Хакасия,2
Ростовская область,2
Рязанская область,2
Самарская область,3
Санкт-Петербург,2
Саратовская область,3
Сахалинская область,3
Свердловская область,2
Севастополь,2
Смоленская область,2
Ставропольский край,3
Тамбовская область,3
Тверская область,3
Томская область,2
Тульская область,2
Тюменская область,2
Удмуртская Республика,3
Ульяновская область,2
Хабаровский край,2
Ханты-Мансийский автономный округ,2
Челябинская область,3
Чеченская Республика,1
Чувашская Республика,3
Чукотский автономный округ,2
Ямало-Ненецкий автономный округ,3
Ярославская область,3
