region, Q
Алтайский край,1
Амурская область,1
Архангельская область,2
Астраханская область,2
Белгородская область,3
Брянская область,1
Владимирская область,3
Волгоградская область,4
Вологодская область,3
Воронежская область,1
Еврейская автономная область,3
Забайкальский край,4
Ивановская область,4
Иркутская область,2
Кабардино-Балкарская Республика,3
Калининградская область,4
Калужская область,2
Камчатский край,4
Карачаево-Черкесская Республика,2
Кемеровская область,3
Кировская область,4
Костромская область,2
Краснодарский край,3
Красноярский край,3
Курганская область,3
Курская область,3
Ленинградская область,4
Липецкая область,3
Магаданская область,3
Москва,1
Московская область,2
Мурманская область,4
Ненецкий автономный округ,4
Нижегородская область,4
Новгородская область,4
Новосибирская область,4
Омская область,1
Оренбургская область,4
Орловская область,2
Пензенская область,1
Пермский край,4
Приморский край,1
Псковская область,4
Республика Адыгея,1
Республика Алтай,3
Республика Башкортостан,4
Республика Бурятия,3
Республика Дагестан,4
Республика Ингушетия,4
Республика Калмыкия,4
Республика Карелия,3
Республика Коми,4
Республика Крым,4
Республика Марий Эл,3
Республика Мордовия,4
Республика Саха,2
Республика Северная Осетия — Алания,3
Республика Татарстан,4
Республика Тыва,3
Республика Хакасия,4
Ростовская область,3
Рязанская область,4
Самарская область,1
Санкт-Петербург,3
Саратовская область,2
Сахалинская область,4
Свердловская область,3
Севастополь,3
Смоленская область,4
Ставропольский край,3
Тамбовская область,2
Тверская область,3
Томская область,2
Тульская область,4
Тюменская область,4
Удмуртская Республика,3
Ульяновская область,4
Хабаровский край,3
Ханты-Мансийский автономный округ,4
Челябинская область,2
Чеченская Республика,2
Чувашская Республика,1
Чукотский автономный округ,2
Ямало-Ненецкий автономный округ,4
Ярославская область,3
