region, Q
Алтайский край,1, 1.5187759204564735
Амурская область,1, 1.4543108765185353
Брянская область,1, 1.3603165019830215
Волгоградская область,4, 0.9157146638195568
Воронежская область,1, 1.3796143776867795
Забайкальский край,4, 1.5532102846769757
Ивановская область,4, 0.91926161266389
Калининградская область,4, 1.2805786328892197
Камчатский край,4, 2.0729646318347914
Кировская область,4, 1.1968464493450237
Ленинградская область,4, 0.9721818751785306
Москва,1, 0.5152355139569517
Мурманская область,4, 0.5861214283969394
Ненецкий автономный округ,4, 0.7071120137037337
Нижегородская область,4, 0.7485972813549246
Новгородская область,4, 0.9407675374337562
Новосибирская область,4, 1.3722422188550059
Омская область,1, 1.3693814317489468
Оренбургская область,4, 1.1900188402643268
Пензенская область,1, 1.49838296343855
Пермский край,4, 0.7258974731042088
Приморский край,1, 1.0980602657123995
Псковская область,4, 1.4358287979117523
Республика Адыгея,1, 1.3778595136482465
Республика Башкортостан,4, 1.0587360164127193
Республика Дагестан,4, 1.878603039824341
Республика Ингушетия,4, 0.8619620448175737
Республика Калмыкия,4, 2.049856958519156
Республика Коми,4, 0.5637208461401435
Республика Крым,4, 1.3922204219853824
Республика Мордовия,4, 1.4010855352607792
Республика Татарстан,4, 0.8770632996962185
Республика Хакасия,4, 1.262827821538376
Рязанская область,4, 0.9792381392449495
Самарская область,1, 0.4976234440436825
Сахалинская область,4, 1.097939994852899
Смоленская область,4, 1.1056323141490207
Тульская область,4, 0.7608067234273405
Тюменская область,4, 1.2883115150471307
Ульяновская область,4, 0.7000023088795622
Ханты-Мансийский автономный округ,4, 0.038083925519605044
Чувашская Республика,1, 0.9072774948106346
Ямало-Ненецкий автономный округ,4, 0.2627351691084833
