region, Q
Алтайский край,1, 0.4307635505201958
Астраханская область,1, 0.494859088884221
Брянская область,1, 0.9835911374478276
Еврейская автономная область,1, 5.165150001755831
Ивановская область,4, 0.8439369611665088
Калужская область,1, 1.5097603269539823
Карачаево-Черкесская Республика,4, 2.170548023599829
Кировская область,1, 0.6216342683504519
Краснодарский край,1, 1.1442587060222245
Курганская область,1, 0.582551528443077
Липецкая область,4, 0.6997614656608225
Москва,1, 1.9246880266590063
Московская область,1, 1.8981343888525921
Нижегородская область,4, 0.4435839334073084
Новосибирская область,4, 1.4505082604541735
Оренбургская область,4, 0.5415796157409417
Орловская область,1, 1.6153178792382499
Республика Бурятия,4, 1.5989343474745472
Республика Калмыкия,1, 0.13318101482983355
Республика Марий Эл,1, 0.696790224731692
Республика Мордовия,1, 1.2117714731453713
Республика Саха,1, 0.690266583223329
Республика Тыва,4, 0.21628061128832368
Ростовская область,4, 0.7790490991958999
Санкт-Петербург,1, 1.121164674982605
Саратовская область,4, 1.0309515264669478
Сахалинская область,4, 0.40206526434095147
Свердловская область,4, 1.544890864258312
Смоленская область,1, 1.132140448097297
Томская область,1, 1.2720053530919306
Ульяновская область,1, 1.397688177184735
Хабаровский край,1, 1.247634240040599
Чеченская Республика,4, 2.3706004089728996
Ярославская область,1, 0.5805635916456706
