region, Q
Алтайский край,3
Амурская область,3
Архангельская область,3
Астраханская область,3
Белгородская область,3
Брянская область,2
Владимирская область,3
Волгоградская область,3
Вологодская область,3
Воронежская область,3
Еврейская автономная область,4
Забайкальский край,2
Ивановская область,3
Иркутская область,3
Кабардино-Балкарская Республика,3
Калининградская область,2
Калужская область,1
Камчатский край,2
Карачаево-Черкесская Республика,3
Кемеровская область,3
Кировская область,3
Костромская область,3
Краснодарский край,3
Красноярский край,3
Курганская область,3
Курская область,4
Ленинградская область,2
Липецкая область,3
Магаданская область,3
Москва,3
Московская область,2
Мурманская область,3
Ненецкий автономный округ,3
Нижегородская область,3
Новгородская область,4
Новосибирская область,3
Омская область,3
Оренбургская область,3
Орловская область,3
Пензенская область,3
Пермский край,3
Приморский край,3
Псковская область,3
Республика Адыгея,3
Республика Алтай,3
Республика Башкортостан,3
Республика Бурятия,3
Республика Дагестан,3
Республика Ингушетия,4
Республика Калмыкия,3
Республика Карелия,3
Республика Коми,2
Республика Крым,3
Республика Марий Эл,3
Республика Мордовия,2
Республика Саха,4
Республика Северная Осетия — Алания,3
Республика Татарстан,3
Республика Тыва,3
Республика Хакасия,3
Ростовская область,3
Рязанская область,3
Самарская область,3
Санкт-Петербург,2
Саратовская область,2
Сахалинская область,3
Свердловская область,2
Севастополь,3
Смоленская область,3
Ставропольский край,3
Тамбовская область,2
Тверская область,3
Томская область,2
Тульская область,3
Тюменская область,3
Удмуртская Республика,3
Ульяновская область,2
Хабаровский край,4
Ханты-Мансийский автономный округ,3
Челябинская область,3
Чеченская Республика,3
Чувашская Республика,3
Чукотский автономный округ,4
Ямало-Ненецкий автономный округ,3
Ярославская область,3
