region, Q
Алтайский край,1
Амурская область,1
Архангельская область,1
Астраханская область,2
Белгородская область,2
Брянская область,1
Владимирская область,2
Волгоградская область,3
Вологодская область,3
Воронежская область,1
Еврейская автономная область,3
Забайкальский край,2
Ивановская область,3
Иркутская область,3
Кабардино-Балкарская Республика,4
Калининградская область,4
Калужская область,1
Камчатский край,2
Карачаево-Черкесская Республика,3
Кемеровская область,3
Кировская область,4
Костромская область,2
Краснодарский край,1
Красноярский край,3
Курганская область,1
Курская область,4
Ленинградская область,4
Липецкая область,3
Магаданская область,3
Москва,1
Московская область,2
Мурманская область,3
Ненецкий автономный округ,3
Нижегородская область,3
Новгородская область,3
Новосибирская область,2
Омская область,2
Оренбургская область,3
Орловская область,3
Пензенская область,1
Пермский край,3
Приморский край,1
Псковская область,2
Республика Адыгея,4
Республика Алтай,4
Республика Башкортостан,3
Республика Бурятия,3
Республика Дагестан,3
Республика Ингушетия,4
Республика Калмыкия,3
Республика Карелия,4
Республика Коми,2
Республика Крым,2
Республика Марий Эл,3
Республика Мордовия,1
Республика Саха,2
Республика Северная Осетия — Алания,4
Республика Татарстан,3
Республика Тыва,4
Республика Хакасия,4
Ростовская область,4
Рязанская область,3
Самарская область,2
Санкт-Петербург,1
Саратовская область,4
Сахалинская область,3
Свердловская область,4
Севастополь,3
Смоленская область,3
Ставропольский край,3
Тамбовская область,1
Тверская область,3
Томская область,1
Тульская область,3
Тюменская область,3
Удмуртская Республика,1
Ульяновская область,2
Хабаровский край,4
Ханты-Мансийский автономный округ,4
Челябинская область,4
Чеченская Республика,4
Чувашская Республика,1
Чукотский автономный округ,4
Ямало-Ненецкий автономный округ,3
Ярославская область,4
