region, Q
Алтайский край,1, 0.7777363629113891
Амурская область,1, 0.46266096476698765
Архангельская область,1, 0.1538328257068488
Брянская область,1, 0.29846870493333055
Воронежская область,1, 1.529133383039345
Кабардино-Балкарская Республика,4, 0.5071407057098477
Калининградская область,4, 0.41230918294089436
Калужская область,1, 0.8169133413943531
Кировская область,4, 1.2351133429283876
Краснодарский край,1, 0.6009623690469557
Курганская область,1, 1.1368845191547858
Курская область,4, 1.2552982616179935
Ленинградская область,4, 0.8036032640598669
Москва,1, 1.5228520413044488
Пензенская область,1, 0.5173670298554864
Приморский край,1, 0.6267835792963297
Республика Адыгея,4, 0.8177070162816494
Республика Алтай,4, 0.049864243519955984
Республика Ингушетия,4, 0.0
Республика Карелия,4, 0.0901891525552254
Республика Мордовия,1, 0.8174399147151202
Республика Северная Осетия — Алания,4, 1.007345638426488
Республика Тыва,4, 0.0
Республика Хакасия,4, 0.8803659213159218
Ростовская область,4, 0.9487932078873682
Санкт-Петербург,1, 1.4451620081448815
Саратовская область,4, 1.5887082241982973
Свердловская область,4, 0.7150983234290762
Тамбовская область,1, 0.7496824751616805
Томская область,1, 1.3147456317981248
Удмуртская Республика,1, 0.32158336756004335
Хабаровский край,4, 0.5740469718676785
Ханты-Мансийский автономный округ,4, 0.039349669843782624
Челябинская область,4, 0.3166127330339584
Чеченская Республика,4, 0.08255839997679083
Чувашская Республика,1, 0.8609811345796734
Чукотский автономный округ,4, 0.0
Ярославская область,4, 1.8839676198841384
