region, Q
Белгородская область,4, 0.302966196021036
Вологодская область,4, 0.32888036745332083
Иркутская область,4, 0.22719558784628624
Кемеровская область,1, 0.2686672168733255
Красноярский край,1, 0.592582927748251
Мурманская область,4, 16.755816889951408
Нижегородская область,4, 0.7114698157034766
Омская область,4, 0.40845076099937255
Оренбургская область,4, 1.0208385127313608
Орловская область,4, 0.26193553107141737
Псковская область,4, 0.4627654106673117
Республика Бурятия,1, 1.0827521198087644
Республика Коми,4, 0.21662885960791275
Севастополь,4, 5.272077187248614
Тверская область,1, 1.758704859367558
