region, Q
Алтайский край,1, 0.5665196261624736
Амурская область,1, 0.31751258473907734
Архангельская область,4, 0.24517433415232087
Астраханская область,1, 0.18361864940874215
Еврейская автономная область,4, 0.3825191801427633
Забайкальский край,1, 0.3239011014308235
Кабардино-Балкарская Республика,4, 0.746034688022869
Калужская область,1, 1.521039063943626
Курганская область,4, 1.6700113408189425
Курская область,4, 0.5840614081243385
Ленинградская область,1, 0.4698297090616252
Липецкая область,4, 1.7983704235641793
Москва,1, 1.1518684043732699
Нижегородская область,1, 1.9918983238579084
Новгородская область,4, 0.6314368639161039
Орловская область,4, 0.9589669413601006
Пермский край,1, 0.9136707175887631
Республика Алтай,4, 0.1421991350309419
Республика Карелия,1, 0.4283903555507617
Республика Саха,1, 0.05930368145735424
Республика Татарстан,1, 1.2839256961664316
Республика Тыва,4, 0.037800570623795764
Ростовская область,4, 1.0206839280848892
Рязанская область,1, 1.0045459937297443
Санкт-Петербург,1, 1.9430195262577252
Севастополь,1, 0.791609930256295
Смоленская область,1, 1.2345557780773702
Тамбовская область,1, 0.2732164671025741
Томская область,1, 0.6669343708979046
Тульская область,4, 1.4879380963551958
Тюменская область,1, 0.801221746814501
Хабаровский край,1, 0.6793016442513087
Челябинская область,4, 2.506556747357278
Чеченская Республика,4, 0.2880903393220527
Чукотский автономный округ,1, 0.0
