region, Q
Белгородская область,1, 0.01572329272780843
Владимирская область,4, 0.0
Вологодская область,1, 0.2171491275351907
Костромская область,4, 0.0
Краснодарский край,1, 0.6108471457898115
Магаданская область,1, 0.0
Московская область,4, 0.09926112850145653
Новгородская область,1, 0.0
Пермский край,4, 1.2817445992767906
Псковская область,4, 0.0
Республика Алтай,4, 0.053839950276745846
Республика Бурятия,1, 0.0041238045714943545
Республика Марий Эл,1, 0.19313538577904177
Республика Северная Осетия — Алания,1, 0.17705726520012915
Ставропольский край,1, 0.23564790933401236
Тверская область,1, 0.02413573887844249
Тульская область,4, 0.0
Удмуртская Республика,4, 1.029645696465698
Хабаровский край,4, 1.112740345563316
Челябинская область,4, 0.15419618318900533
